Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
X41385276,INDIVIDUAL,SPAXX**,HELD IN MONEY MARKET,,,,$161.27,,,,,0.05%,,,Cash
X41385276,INDIVIDUAL,FZDXX,FIDELITY MMKT PREMIUM CLASS,89155.7907,$1.00,$0.00,"$89,155.79",--,--,--,--,29.85%,--,--,Cash
X41385276,INDIVIDUAL,MSFT,MICROSOFT CORP,525.3035,$398.55,+$5.81,"$209,359.70","+$3,052.01",+1.47%,--,--,70.10%,--,--,Cash
Y39614827,Joint WROS - TOD,FDRXX**,HELD IN MONEY MARKET,,,,$558.90,,,,,0.32%,,,Cash
Y39614827,Joint WROS - TOD,NVDA,NVIDIA CORPORATION COM,76.1703,$182.48,+$5.29,"$13,899.56",+$402.94,+2.98%,"+$3,878.99",+38.71%,7.97%,"$10,020.58",$131.55,Cash
Y39614827,Joint WROS - TOD,GOOGL,ALPHABET INC CAP STK CL A,17.9973,$306.52,-$5.24,"$5,516.55",-$94.31,-1.69%,"+$2,504.95",+83.17%,3.16%,"$3,011.60",$167.34,Cash
Y39614827,Joint WROS - TOD,AVGO,BROADCOM INC COM,14.8202,$318.82,-$0.73,"$4,724.99",-$10.82,-0.23%,"+$2,077.37",+78.46%,2.71%,"$2,647.62",$178.65,Cash
Y39614827,Joint WROS - TOD,GOOG,ALPHABET INC CAP STK CL C,14.5386,$306.36,-$5.07,"$4,454.03",-$73.71,-1.63%,"+$2,011.16",+82.32%,2.55%,"$2,442.87",$168.03,Cash
Y39614827,Joint WROS - TOD,AAPL,APPLE INC,46.8491,$264.72,+$0.54,"$12,401.89",+$25.30,+0.20%,"+$1,823.61",+17.23%,7.11%,"$10,578.29",$225.79,Cash
Y39614827,Joint WROS - TOD,JNJ,JOHNSON &JOHNSON COM,10.4396,$248.56,+$0.13,"$2,594.86",+$1.36,+0.05%,"+$1,088.02",+72.20%,1.49%,"$1,506.84",$144.34,Cash
Y39614827,Joint WROS - TOD,AMAT,APPLIED MATERIALS INC COM USD0.01,4.6095,$372.18,-$0.12,"$1,715.55",-$0.55,-0.04%,"+$1,054.48",+159.51%,0.98%,$661.07,$143.42,Cash
Y39614827,Joint WROS - TOD,MU,MICRON TECHNOLOGY INC,3.1174,$412.67,+$0.30,"$1,286.44",+$0.93,+0.07%,+$989.97,+333.92%,0.74%,$296.47,$95.10,Cash
Y39614827,Joint WROS - TOD,CAT,CATERPILLAR INC COM,1.6901,$752.32,+$9.49,"$1,271.52",+$16.04,+1.27%,+$735.04,+137.01%,0.73%,$536.48,$317.42,Cash
Y39614827,Joint WROS - TOD,APH,AMPHENOL CORP CLASS A COM USD0.001,10.1084,$135.16,-$10.90,"$1,366.24",-$110.18,-7.47%,+$708.45,+107.69%,0.78%,$657.80,$65.07,Cash
Y39614827,Joint WROS - TOD,GE,GE AEROSPACE COM NEW,3.9488,$345.74,+$3.48,"$1,365.24",+$13.74,+1.01%,+$684.97,+100.69%,0.78%,$680.27,$172.28,Cash
Y39614827,Joint WROS - TOD,PLTR,PALANTIR TECHNOLOGIES INC CL A,6.9125,$145.17,+$7.98,"$1,003.48",+$55.16,+5.81%,+$679.29,+209.53%,0.58%,$324.19,$46.90,Cash
Y39614827,Joint WROS - TOD,LLY,ELI LILLY &CO COM,2.4533,$1017.97,-$34.02,"$2,497.34",-$83.46,-3.24%,+$640.61,+34.50%,1.43%,"$1,856.72",$756.84,Cash
Y39614827,Joint WROS - TOD,GEV,GE VERNOVA INC COM,1.0772,$881.18,+$7.58,$949.25,+$8.16,+0.86%,+$639.83,+206.78%,0.54%,$309.42,$287.23,Cash
Y39614827,Joint WROS - TOD,WMT,WALMART INC COM,14.2142,$127.10,-$0.85,"$1,806.62",-$12.08,-0.67%,+$626.34,+53.06%,1.04%,"$1,180.28",$83.04,Cash
Y39614827,Joint WROS - TOD,AMD,ADVANCED MICRO DEVICES INC,6.0298,$198.62,-$1.59,"$1,197.65",-$9.59,-0.80%,+$603.31,+101.51%,0.69%,$594.33,$98.57,Cash
Y39614827,Joint WROS - TOD,JPM,JPMORGAN CHASE &CO. COM,8.1553,$297.56,-$2.74,"$2,426.70",-$22.35,-0.92%,+$593.83,+32.39%,1.39%,"$1,832.86",$224.74,Cash
Y39614827,Joint WROS - TOD,STX,SEAGATE TECHNOLOGY HLDGS PUB LTD CO SEAGATE TECHNOLOGY HOLDINGS PLC ORDINARY SHARES ISIN #IE00BKVD2N49,1.8984,$379.52,-$28.32,$720.48,-$53.76,-6.95%,+$561.66,+353.64%,0.41%,$158.82,$83.66,Cash
Y39614827,Joint WROS - TOD,AMZN,AMAZON.COM INC,28.6947,$208.39,-$1.61,"$5,979.69",-$46.20,-0.77%,+$507.55,+9.27%,3.43%,"$5,472.14",$190.70,Cash
Y39614827,Joint WROS - TOD,XOM,EXXON MOBIL CORP COM,10.6547,$154.22,+$1.72,"$1,643.16",+$18.33,+1.12%,+$486.74,+42.08%,0.94%,"$1,156.42",$108.54,Cash
Y39614827,Joint WROS - TOD,KLAC,KLA CORP COM NEW,0.5600,$1534.95,+$10.40,$859.51,+$5.82,+0.68%,+$478.97,+125.86%,0.49%,$380.54,$679.58,Cash
Y39614827,Joint WROS - TOD,NEM,NEWMONT CORP COM ISIN #US6516391066 SEDOL #BJYKTV2,4.8092,$128.73,-$1.27,$619.09,-$6.11,-0.98%,+$436.53,+239.12%,0.36%,$182.56,$37.96,Cash
Y39614827,Joint WROS - TOD,META,META PLATFORMS INC CLASS A COMMON STOCK,6.9039,$653.56,+$5.38,"$4,512.13",+$37.14,+0.83%,+$434.49,+10.65%,2.59%,"$4,077.64",$590.63,Cash
